artifact_id,artifact_type,main_or_si,latex_label,latex_reference,claim_or_threat_id,evidence_family,source_notebook,source_result_object,source_analytical_dataset,raw_source_family,output_path,generated_during_current_run,validation_status,scientific_role,necessity_reason
data_audit_table,table,main,tab:data-audit,\ref{tab:data-audit},C1,data construction and linkage,00-01,master_support_counts.csv; movie_metadata_coverage.csv,master_song_panel.csv,Billboard/Spotify/IMDb/Last.fm raw inputs,outputs/tables/main/data_audit_table.tex,yes,PASS,documents the analytic universe and support counts behind every analysis,single authoritative statement of the support counts used throughout the paper
table_si_platform_coverage,table,si,tab:si-platform-coverage,\ref{tab:si-platform-coverage},C2,data construction and linkage,01,platform_coverage.csv,master_song_panel.csv,Spotify snapshots + Last.fm,outputs/tables/si/table_si_platform_coverage.tex,yes,PASS,documents per-platform and per-snapshot linkage support,only artifact recording snapshot-level linkage support; no other retained artifact carries it
table_si_movie_metadata_coverage,table,si,tab:si-movie-metadata-coverage,\ref{tab:si-movie-metadata-coverage},C3,data construction and linkage,01,movie_metadata_coverage.csv,master_song_panel.csv,IMDb + Box Office Mojo (thesis lineage),outputs/tables/si/table_si_movie_metadata_coverage.tex,yes,PASS,single coverage/missingness object for all movie-level variables,consolidates all movie-metadata support counts in one table with one denominator
figure1_attention_regimes_matching,figure,main,fig:attention-matching,\ref{fig:attention-matching},C5;C11;C12,platform coverage and attention differences; matched song comparisons,02,standardized_premiums.csv; song_matching_estimates.csv,spotify_song_snapshot_panel.csv; lastfm_song_panel.csv,Spotify snapshots + Last.fm + Billboard,outputs/figures/main/figure1_attention_regimes_matching.pdf,yes,PASS,"cross-platform standardized premiums, matched premiums, and balance summary","the paper's first-result figure combining attention differences, matching, and balance evidence"
table_si_attention_premiums,table,si,tab:si-attention-premiums,\ref{tab:si-attention-premiums},C5,platform coverage and attention differences,02,standardized_premiums.csv; attention_premiums.csv,spotify_song_snapshot_panel.csv; lastfm_song_panel.csv,Spotify snapshots + Last.fm,outputs/tables/si/table_si_attention_premiums.tex,yes,PASS,raw-unit and standardized premiums behind the main attention-differences figure,"one consolidated table replaces separate raw Spotify, standardized, and Last.fm premium tables"
table_si_song_matching_estimates,table,si,tab:si-song-matching-estimates,\ref{tab:si-song-matching-estimates},C11;C12,matched song-level comparisons,02,song_matching_estimates.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_song_matching_estimates.tex,yes,PASS,full matched support and estimates behind the main matching panels,carries per-snapshot support counts and balance summaries that the main figure reports only graphically
table_si_song_matching_inference,table,si,tab:si-song-matching-inference,\ref{tab:si-song-matching-inference},C14,matched song-level comparisons,02,song_matching_inference.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_song_matching_inference.tex,yes,PASS,quantifies control reuse and replacement-aware uncertainty for the song-level matched designs,control reuse is a real inferential threat for with-replacement matching; no other artifact carries it
table_memory_decay_key_results,table,main,tab:memory-decay-key-results,\ref{tab:memory-decay-key-results},C9,expected-attention baselines,03,excess_premiums.csv; matched_excess.csv; matched_excess_inference.csv; temporal_excess.csv; decay_equivalent_audit.csv; dormant_integrated_inference.csv,spotify_song_snapshot_excess_attention.csv,Spotify snapshots + Billboard + IMDb,outputs/tables/main/table_memory_decay_key_results.tex,yes,PASS,"summarizes broad excess-attention levels, prior-attention matched differences, and temporal contrasts",single main-text table carrying the paper's central excess-attention estimates
figure2_expected_memory_excess_dormant,figure,main,fig:excess-memory,\ref{fig:excess-memory},C7;C9;C10;C14,expected-attention baselines; lower pre-film excess-attention reactivation,03,memorydecay_age_means.csv; memorydecay_fits.csv; excess_premiums.csv; matched_excess.csv; matched_excess_inference.csv; temporal_excess.csv; decay_equivalent_age_grid.csv; dormant_assignment_distribution.csv; dormant_integrated_inference.csv,spotify_song_snapshot_excess_attention.csv,Spotify snapshots + Billboard + IMDb,outputs/figures/main/figure2_expected_memory_excess_dormant.pdf,yes,PASS,"expected-attention curves, level differences, temporal contrasts, decay-equivalent translations, and integrated inference",the paper's central reactivation figure
table_si_memorydecay_support,table,si,tab:si-memorydecay-support,\ref{tab:si-memorydecay-support},C7,expected-attention baselines,03,memorydecay_support.csv,spotify_song_snapshot_excess_attention.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_memorydecay_support.tex,yes,PASS,documents the aggregation support behind every fitted baseline,fit validity cannot be audited without the never-film cell support
